TIMESTAMP                   CATEGORY    SEVERITY  TYPE                         ENTITY                                              DESCRIPTION
2026-08-18T16:28:49.752005  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 5 times until "2026-Aug-18 16:27:23.4611197".
2026-08-18T15:54:49.811464  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 7 times until "2026-Aug-18 15:53:23.5198799".
2026-08-18T15:41:49.833844  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 7 times until "2026-Aug-18 15:40:23.5439214".
2026-08-18T15:26:49.86048   Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 26 times until "2026-Aug-18 15:25:23.5700341".
2026-08-18T14:46:49.931742  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 6 times until "2026-Aug-18 14:45:23.6378777".
2026-08-18T14:34:49.950948  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 25 times until "2026-Aug-18 14:33:23.6585865".
2026-08-18T14:03:50.004893  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 32 times until "2026-Aug-18 14:02:23.7140983".
2026-08-18T14:00:50.010631  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 30 times until "2026-Aug-18 14:00:23.7209358".
2026-08-18T13:25:50.070677  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 7 times until "2026-Aug-18 13:24:23.7836306".
2026-08-18T13:07:50.101725  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 29 times until "2026-Aug-18 13:06:23.8152503".
2026-08-18T12:32:50.163054  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 92 times until "2026-Aug-18 12:31:23.8712527".
2026-08-18T12:30:20.167006  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 90 times until "2026-Aug-18 12:29:23.8754063".
2026-08-18T11:59:50.22095   Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 60 times until "2026-Aug-18 11:59:23.9273832".
2026-08-18T11:29:50.272288  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 30 times until "2026-Aug-18 11:29:23.9823516".
2026-08-18T10:54:50.333029  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 17 times until "2026-Aug-18 10:53:24.0406333".
2026-08-18T10:30:50.373838  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 14 times until "2026-Aug-18 10:29:24.0817804".
2026-08-18T10:05:50.416131  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 26 times until "2026-Aug-18 10:04:24.1278142".
2026-08-18T09:33:50.47095   Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 16 times until "2026-Aug-18 09:32:24.1794236".
2026-08-18T09:11:50.508842  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 14 times until "2026-Aug-18 09:10:24.2166801".
2026-08-18T08:50:50.544894  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 53 times until "2026-Aug-18 08:49:24.2555146".
2026-08-18T08:26:50.585564  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 30 times until "2026-Aug-18 08:26:24.294382".
2026-08-18T07:49:50.648839  Events      INFO      EventsDedupReport            Backend                                             Event "GcTooManyScans" with hash 1338870898 was deduped 14 times until "2026-Aug-18 07:48:24.3564842".
